size,f,threads,estimate,duration
20000000,0,1,3.142002317599236,0.631967
20000000,0,1,3.142764051048701,0.631509
20000000,0,1,3.1416992885841317,0.625342
20000000,0,1,3.1416992885841317,0.620757
20000000,0,1,3.1393698593093853,0.622781
20000000,0,2,3.1393698593093853,0.729299
20000000,0,2,3.1421969558919107,0.72499
20000000,0,2,3.1432091122582007,0.736911
20000000,0,2,3.140365948623881,0.763063
20000000,0,2,3.140365948623881,0.727231
20000000,0,4,3.141301128343563,0.670392
20000000,0,4,3.140791212600646,0.688443
20000000,0,4,3.140791212600646,0.691549
20000000,0,4,3.1458678874502386,0.692116
20000000,0,4,3.1403052186946856,0.67847
20000000,0,8,3.1424347542634896,0.614136
20000000,0,8,3.1424347542634896,0.615726
20000000,0,8,3.141686794753513,0.624776
20000000,0,8,3.141686794753513,0.61739
20000000,0,8,3.141693094979053,0.624564
20000000,0,16,3.1391464606387194,0.557925
20000000,0,16,3.1391464606387194,0.56049
20000000,0,16,3.143216900535599,0.558211
20000000,0,16,3.143216900535599,0.561793
20000000,0,16,3.141158651911992,0.560272
20000000,0,32,3.141158651911992,0.552015
20000000,0,32,3.1396443728231507,0.553344
20000000,0,32,3.1410416050505594,0.56114
20000000,0,32,3.1410416050505594,0.552809
20000000,0,32,3.140132460345183,0.56764
20000000,0,64,3.140132460345183,0.523734
20000000,0,64,3.1421737597129553,0.535153
20000000,0,64,3.1421737597129553,0.52479
20000000,0,64,3.1424068375868877,0.529368
20000000,0,64,3.1424068375868877,0.523552
20000000,0,128,3.1409550824715295,0.511772
20000000,0,128,3.1409550824715295,0.518337
20000000,0,128,3.1410892832339035,0.513686
20000000,0,128,3.1410892832339035,0.523914
20000000,0,128,3.140494674500392,0.510741
20000000,0,256,3.1427124373637896,0.507196
20000000,0,256,3.1427124373637896,0.507404
20000000,0,256,3.1433271303012265,0.509434
20000000,0,256,3.1433271303012265,0.510894
20000000,0,256,3.141743170347147,0.512714
20000000,0,512,3.141743170347147,0.520995
20000000,0,512,3.1401561003151732,0.519055
20000000,0,512,3.1401561003151732,0.522425
20000000,0,512,3.1398897913204205,0.522207
20000000,0,512,3.1398897913204205,0.511002
20000000,0,1024,3.1411750828664893,0.541701
20000000,0,1024,3.1411750828664893,0.540477
20000000,0,1024,3.1400154306657413,0.533154
20000000,0,1024,3.1400154306657413,0.533896
20000000,0,1024,3.1421120921315913,0.528781
20000000,0,2048,3.1421120921315913,0.545381
20000000,0,2048,3.1402210309955696,0.546727
20000000,0,2048,3.1402210309955696,0.571372
20000000,0,2048,3.1425808427323036,0.555777
20000000,0,2048,3.1423775082812075,0.554908
